76
Sea	#A9E2F3
None	#C0C0C0
Unknown	#E6E6FF
Polynesian mythology	#E6FF00
Christianity	#C0C0C0
Anglican Protestant	#FF8080
Roman Catholic	#9966CC
American Animism	#FFD320
Longhouse Religion	#000080
Waashat Religion	#000080
Norse Mythology	#58FAAC
Lutheranism	#99284C
Dreamtime	#E6E64C
Congregationalist	#B84747
Mormonism	#EB613D
Methodist	#FF3366
Baptist	#B80047
Russian Orthodox	#8904B1
Mesoamerican Religion	#B18904
Mayan Religion	#CCCC00
Chavin Religion	#FFFF66
Norte Chico	#E6FF00
Valdiva	#FFFF99
Moche	#E6FF00
Inca	#FF950E
Eastern Christianity	#6B0094
Celtic polytheism	#FF9966
Anglo-Saxon paganism	#FF6633
Proto-Indo-European religion	#FFCC99
Calvinist	#94476B
Traditional African religion	#FAAC58
Ancient Egyptian Religion	#4C1900
Sunni Islam	#23FF23
Early Christianity	#6B4794
Jainism	#198A8A
Hinduism	#0047FF
Arianism	#6B4794
Roman Mythology	#0099FF
Greek Mythology	#00B8FF
Priscillianism	#5E11A6
Noshinto	#B3B300
Shinto	#94BD5E
Celtic Christianity	#9999FF
Chinese Folk Religion	#FFFF00
Taoism	#FF950E
Buddhism	#004A4A
Eurasian Animism	#FFFF99
Judaism	#FF00FF
Mesopotamian mythology	#04B4AE
Hussite	#99284C
Zwinglism	#FF3366
Greek Orthodox	#800080
Western Schism	#9999FF
Anabaptist	#FF0000
Zoroastrianism	#996633
Zurvanism	#663300
Tibetan Buddhism	#314004
Shamanism	#FFFF99
Minoan Religion	#33A3A3
Mycenean Religion	#00DCFF
Myceanean-Greek Bridge	#47B8B8
Etruscan Mythology	#58D3F7
Shia Islam	#33CC66
Gnosticism	#B84747
Catharism	#EB613D
Manichaeism	#B84747
Taiping Christianity	#B80047
Sikh	#280099
Aladura Christianity	#FE2E2E
Mesopotamian Religion	#8181F7
Hittite Mythology	#084B8A
Arabian Polytheism	#FFFF66
Canaanite Religion	#CC6633
Proto-Indo-Iranian religion	#FF8080
South-East Asian Animism	#FACC2E
Ryukyuan Religion	#D7DF01
-4000	-3900	-3800	-3700	-3600	-3500	-3400	-3300	-3200	-3100	-3000	-2900	-2800	-2700	-2600	-2500	-2400	-2300	-2200	-2100	-2000	-1900	-1800	-1700	-1600	-1500	-1400	-1300	-1200	-1100	-1000	-950	-900	-850	-800	-750	-700	-650	-600	-550	-500	-450	-400	-350	-300	-250	-200	-150	-100	-50	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000
80	70
